name,cuisine,DietaryRestrictions,latitude,longitude,phone,rating
Shebestan,Lebanese Middle Eastern       ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.959572,77.64877,+91 80 4249 4949,4.5
NH7Refuel,Indian Asian       ,Vegetarian Friendly Vegan Options  ,13.261157,77.71563,+91 99452 43000,4.5
Rasta Cafe,Italian International European      ,   ,12.974352,77.60679,+91 78990 63636,4.5
La Utsav,Italian Chinese Indian Cafe Mediterranean Asian   ,Vegetarian Friendly   ,12.9928,77.66104,+91 80 6843 0000,5
Central Jail Resturent,Indian        ,   ,12.929983,77.58503,+91 73378 86666,4
Asia Alive,Indian Asian       ,Vegetarian Friendly Vegan Options  ,12.919354,77.665276,+91 80676 56565,4
Aqua,Bar Seafood Mediterranean European Pub    ,   ,12.97449,77.61102,+91 80 2559 4666,4.5
Rashtrakutas,Indian Asian       ,Vegetarian Friendly Vegan Options  ,12.91257,77.6446,+91 88844 95599,4.5
Shiv Sagar,Indian Asian       ,Vegetarian Friendly Vegan Options  ,13.00412,77.57126,+91 80 2266 7356,4.5
Connie's Steakhouse & Wine Bar,American Steakhouse European Grill Wine Bar    ,Vegetarian Friendly   ,13.015,77.63306,+91 87928 15159,4
Copper Chimney - Indiranagar,Indian        ,Vegetarian Friendly Vegan Options Halal ,12.997246,77.696266,+91 86574 10221,3.5
Arirang Korean,Asian Korean       ,   ,13.01546,77.63596,+91 80 4173 2581,4.5
Truffles,        ,Vegetarian Friendly Vegan Options  ,13.02809,77.57309,23410222,4
Zaitoon Multi Cuisine Restaurant,Chinese Indian Mediterranean Asian Middle Eastern    ,Vegetarian Friendly Vegan Options Halal ,12.902878,77.58583,+91 80 4147 7977,4
Chavadi,Indian Bar International      ,Vegetarian Friendly Vegan Options  ,12.892224,77.60253,+91 80 4965 3031,4
Olive Garden,Italian Chinese Greek      ,   ,13.02584,77.63819,+91 80 2542 9055,4
The Yogisthaan Cafe,Italian Mediterranean       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.925285,77.626076,+91 80 4091 4888,4
Street Storyss,Indian Pizza Cafe Asian Thai Street Food   ,Vegetarian Friendly Vegan Options  ,12.970239,77.63594,+91 98109 46339,4.5
Brahma Brews,American Indian Brew Pub Bar Asian    ,Vegetarian Friendly Vegan Options  ,12.893372,77.58668,+91 74831 97213,4.5
The Eatery,Indian International Asian      ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,12.979388,77.75164,+91 80 4030 1212,4.5
Ji Hazoor Restaurant,Indian Asian       ,Vegetarian Friendly Halal  ,12.97608,77.726776,+91 99646 51107,3.5
Tipsy Bull - The Bar Exchange,Bar Pub       ,Vegetarian Friendly   ,12.92091,77.66485,+91 88844 42009,4
Toast and Tonic,Bar European Fusion      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.96668,77.608734,+91 80 4111 6879,4.5
Woodlands,Indian        ,   ,12.965438,77.59499,+91 80 4041 1111,3.5
Pecos Pub,Pub Gastropub       ,   ,12.973733,77.60725,+91 96868 77666,4
The Biere Club,Brew Pub International European Pub     ,Vegetarian Friendly Vegan Options  ,12.971064,77.597595,+91 99867 69776,4
"Republic of Noodles, Lemon Tree, Electronic City",Chinese Asian Thai Vietnamese Singaporean Shanghai   ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.840694,77.65967,+91 96864 53394,4.5
The Hole In The Wall Cafe,American Cafe       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.934545,77.62555,+91 80 4094 9490,4.5
SOKA Cocktail Bar,Fusion        ,   ,12.988316,77.53252,+91 93530 45053,5
Misu,Chinese Japanese Sushi Thai Shanghai    ,Vegetarian Friendly Vegan Options  ,12.970628,77.60064,+91 89711 15511,4
WelcomCafe Jacaranda,Indian International       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.968701,77.61444,+91 80 2500 1700,5
Dhaba Estd 1986,Indian        ,Vegetarian Friendly Vegan Options  ,12.9706,77.64637,+91 88844 98123,4
Hotel Navayuga,Indian Asian       ,Vegetarian Friendly Halal  ,12.97738,77.57556,+91 80 2291 4918,4.5
Kamat Bugle Rock,Indian        ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.940037,77.56685,+91 80 2660 5734,4
Sante Spa Cuisine,Asian Healthy       ,Vegetarian Friendly Vegan Options  ,12.964058,77.63864,+91 80 4965 2670,4.5
Delhi Highway,Indian Asian       ,Vegetarian Friendly Vegan Options  ,12.970158,77.639565,+91 80 4512 8750,4
Harima,Japanese Sushi Asian      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.967781,77.60012,+91 80 4132 5757,4
The Square - Food Outside the Box,Indian International       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.929796,77.68323,+91 80667 05000,4.5
Rasovara - The Royal Kitchen,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.972,77.59621,+91 80 4173 8968,4
LONO - The Tropical Lounge,Indian Bar Pub Fusion Gastropub    ,   ,12.97102,77.64733,+91 99808 38486,4
Little Italy,Italian Pizza European      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.93426,77.60942,+91 80 4853 9052,4
Cur8,Indian Mediterranean Grill      ,Vegetarian Friendly Vegan Options  ,13.019406,77.58529,+91 80 4522 2269,4.5
Hotel Dwaraka,Indian Asian       ,Vegetarian Friendly   ,12.93941,77.57926,+91 80 2590 5217,4
Kaze,Japanese Asian Thai      ,Vegetarian Friendly Vegan Options  ,12.965546,77.596504,+91 80 4965 2640,4
Bengaluru Cafe,Cafe Fast Food       ,   ,12.9395,77.58404,+91 80123 45679,4.5
Uno Izakaya,Japanese Bar Seafood Wine Bar     ,Vegetarian Friendly   ,12.971746,77.59507,+91 88884539600,5
1Q1,Chinese Japanese Asian Thai Vietnamese Malaysian   ,Vegetarian Friendly Vegan Options  ,12.983717,77.596985,+91 80 4805 0101,4
ALBA,Mediterranean European Soups      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.971713,77.5951,+91 88844 94038,4.5
Amoeba,Bar Pub       ,   ,12.98473,77.73365,+91 80 2802 6561,4
Smoke House Deli Lavelle Road,Cafe International European Deli     ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.971637,77.59841,+91 91520 17972,4
Sodabottleopenerwala,Indian Persian       ,Vegetarian Friendly   ,12.970781,77.597626,+91 70222 55299,4
Bangalore Club,Indian Bar Asian Pub     ,Vegetarian Friendly   ,12.967373,77.59763,,4
Hotel Janatha Restaurant,Indian        ,Vegetarian Friendly Vegan Options  ,12.999128,77.57096,+91 80 2334 5609,4
Sigree Global Grill,Indian Barbecue Asian Grill     ,Vegetarian Friendly Vegan Options  ,13.025401,77.6395,+91 80 2545 1318,4
F5,Indian Asian Healthy      ,Vegetarian Friendly   ,13.027779,77.63245,+91 80 6901 2345,5
Jalsa,Indian Asian       ,Vegetarian Friendly Vegan Options Halal ,12.977613,77.6954,+91 98866 57788,4
The Whiskey Bar,Indian Bar       ,   ,12.9802,77.5861,+91 80 2220 5205,5
Echoes,Indian Pizza Cafe Fast Food Fusion    ,Vegetarian Friendly Vegan Options  ,12.934103,77.61564,+91 95908 09809,4
Rajathadri Palace,Indian Asian       ,Vegetarian Friendly Vegan Options  ,12.90368,77.49082,+91 93228 00100,4
The Market,Italian Indian Asian      ,Vegetarian Friendly Vegan Options Gluten Free Options ,12.967485,77.60208,+91 80 4914 8000,4.5
Mainland China,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,Vegetarian Friendly Vegan Options  ,12.955864,77.72519,+91 80 2847 5486,4
Samrat Restaurant,Indian        ,Vegetarian Friendly Vegan Options  ,12.984654,77.58778,+91 80 2226 6866,3.5
Muro,Chinese Bar Thai Pub Wine Bar Dining bars   ,   ,12.974585,77.6031,+91 80 6945 6060,4.5
